top - 14:41:15 up 766 days, 17:32, 12 users,  load average: 0.04, 0.04, 0.01
Tasks: 250 total,   1 running, 225 sleeping,  24 stopped,   0 zombie
Cpu(s):  1.2%us,  1.2%sy,  0.0%ni, 97.3%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:  12292116k total,  5079644k used,  7212472k free,    80648k buffers
Swap: 14346036k total,  2415116k used, 11930920k free,  3138208k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                                                                                                                                                                        
 3966 uuidd     16   0 60968  208  204 S  0.0  0.0   0:02.25 uuidd                                                                                                                                                                                                                                                          
 4037 root      18   0 18748  344  296 S  0.0  0.0   0:51.68 atd                                                                                                                                                                                                                                                            
 4053 haldaemo  15   0 51440 2068 1496 S  0.0  0.0  10:16.46 hald                                                                                                                                                                                                                                                           
 4054 root      16   0 21704  420  416 S  0.0  0.0   0:00.00 hald-runner                                                                                                                                                                                                                                                    
 4063 haldaemo  24   0 12336  520  516 S  0.0  0.0   0:00.00 hald-addon-acpi                                                                                                                                                                                                                                                
 4070 haldaemo  18   0 12336  528  524 S  0.0  0.0   0:00.00 hald-addon-keyb                                                                                                                                                                                                                                                
 4082 root      18   0 10240  408  388 S  0.0  0.0 330:25.33 hald-addon-stor                                                                                                                                                                                                                                                
 4157 root      17   0  3804  408  404 S  0.0  0.0   0:00.00 mingetty                                                                                                                                                                                                                                                       
 4158 root      18   0  3804  408  404 S  0.0  0.0   0:00.00 mingetty                                                                                                                                                                                                                                                       
 4159 root      18   0  3804  408  404 S  0.0  0.0   0:00.00 mingetty                                                                                                                                                                                                                                                       
 4160 root      18   0  3804  408  404 S  0.0  0.0   0:00.00 mingetty                                                                                                                                                                                                                                                       
 4161 root      18   0  3804  408  404 S  0.0  0.0   0:00.00 mingetty                                                                                                                                                                                                                                                       
 4162 root      21   0  3804  408  404 S  0.0  0.0   0:00.00 mingetty                                                                                                                                                                                                                                                       
 4624 root      19   0  254m  37m 3788 S  0.0  0.3   0:24.13 mcollectived                                                                                                                                                                                                                                                   
 4750 wheelert  18   0 31896 1316 1312 S  0.0  0.0   0:01.59 bash                                                                                                                                                                                                                                                           
 5040 root      15   0 10120  752  612 S  0.0  0.0   2:16.86 syslogd                                                                                                                                                                                                                                                        
 5043 root      15   0  3816  340  336 S  0.0  0.0   1:22.78 klogd                                                                                                                                                                                                                                                          
 5208 rivase    19   0 1476m  49m  720 T  0.0  0.4  31:24.26 triomsa                                                                                                                                                                                                                                                        
 5633 root      17   0  104m 4592 3476 S  0.0  0.0   0:00.01 sshd                                                                                                                                                                                                                                                           
 5635 jungs     15   0  104m 2500 1340 S  0.0  0.0   0:00.04 sshd                                                                                                                                                                                                                                                           
 5636 jungs     15   0 86228 2772 1948 S  0.0  0.0   0:00.05 bash                                                                                                                                                                                                                                                           
 5777 jungs     15   0 37336 3092 2368 S  0.0  0.0   0:00.01 qlogin                                                                                                                                                                                                                                                         
 5778 jungs     16   0 63848 1124  928 S  0.0  0.0   0:00.00 qlogin_wrapper                                                                                                                                                                                                                                                 
 5779 jungs     15   0 63720 4108 3140 S  0.0  0.0   0:00.06 ssh                                                                                                                                                                                                                                                            
 6014 root      16   0  103m 4596 3476 S  0.0  0.0   0:00.01 sshd                                                                                                                                                                                                                                                           
 6016 davisf    15   0  104m 2612 1340 S  0.0  0.0   0:02.10 sshd                                                                                                                                                                                                                                                           
